"data_name","ott_name","tree_name"
"Aonchotheca bovis","Aonchontheca bovis","Aonchontheca_bovis"
"Ascaris suum","Ascaris suum","Ascaris_suum"
"Ascarops strongylina","Ascarops strongylina","Ascarops_strongylina"
"Chabertia ovina","Chabertia ovina","Chabertia_ovina"
"Cooperia curticei","Cooperia curticei","Cooperia_curticei"
"Cooperia fuelleborni","Cooperia fuelleborni","Cooperia_fuelleborni"
"Cooperia oncophora","Cooperia oncophora","Cooperia_oncophora"
"Cooperia pectinata","Cooperia pectinata","Cooperia_pectinata"
"Cooperia punctata","Cooperia punctata","Cooperia_punctata"
"Cyathostomum catinatum","Cyathostomum catinatum","Cyathostomum_catinatum"
"Cylicocyclus nassatus","Cylicocyclus nassatus","Cylicocyclus_nassatus"
"Cylicostephanus longibursatus","Cylicostephanus longibursatus","Cylicostephanus_longibursatus"
"Cystocaulus ocreatus","Cystocaulus ocreatus","Cystocaulus_ocreatus"
"Dictyocaulus arnfieldi","Dictyocaulus arnfieldi","Dictyocaulus_arnfieldi"
"Dictyocaulus eckerti","Dictyocaulus eckerti","Dictyocaulus_eckerti"
"Dictyocaulus filaria","Dictyocaulus filaria","Dictyocaulus_filaria"
"Dictyocaulus viviparus","Dictyocaulus viviparus","Dictyocaulus_viviparus"
"Elaphostrongylus alces","Elaphostrongylus alces","Elaphostrongylus_alces"
"Elaphostrongylus cervi","Elaphostrongylus cervi","Elaphostrongylus_cervi"
"Elaphostrongylus rangiferi","Elaphostrongylus rangiferi","Elaphostrongylus_rangiferi"
"Gnathostoma doloresi","Gnathostoma doloresi","Gnathostoma_doloresi"
"Gnathostoma hispidum","Gnathostoma hispidum","Gnathostoma_hispidum"
"Gongylonema pulchrum","Gongylonema pulchrum","Gongylonema_pulchrum"
"Haemonchus contortus","Haemonchus contortus","Haemonchus_contortus"
"Haemonchus placei","Haemonchus placei","Haemonchus_placei"
"Hyostrongylus rubidus","Hyostrongylus rubidus","Hyostrongylus_rubidus"
"Metastrongylus apri","Metastrongylus apri","Metastrongylus_apri"
"Metastrongylus pudendotectus","Metastrongylus pudendotectus","Metastrongylus_pudendotectus"
"Metastrongylus salmi","Metastrongylus salmi","Metastrongylus_salmi"
"Muellerius capillaris","Muellerius capillaris","Muellerius_capillaris"
"Nematodirus abnormalis","Nematodirus abnormalis","Nematodirus_abnormalis"
"Nematodirus battus","Nematodirus battus","Nematodirus_battus"
"Nematodirus filicollis","Nematodirus filicollis","Nematodirus_filicollis"
"Nematodirus helvetianus","Nematodirus helvetianus","Nematodirus_helvetianus"
"Nematodirus spathiger","Nematodirus spathiger","Nematodirus_spathiger"
"Neostrongylus linearis","Neostrongylus linearis","Neostrongylus_linearis"
"Oesophagostomum asperum","Oesophagostomum asperum","Oesophagostomum_asperum"
"Oesophagostomum columbianum","Oesophagostomum columbianum","Oesophagostomum_columbianum"
"Oesophagostomum dentatum","Oesophagostomum dentatum","Oesophagostomum_dentatum"
"Oesophagostomum kansuensis","Oesophagostomum granatensis","Oesophagostomum_kansuensis"
"Oesophagostomum quadrispinulatum","Oesophagostomum quadrispinulatum","Oesophagostomum_quadrispinulatum"
"Oesophagostomum radiatum","Oesophagostomum radiatum","Oesophagostomum_radiatum"
"Oesophagostomum venulosum","Oesophagostomum venulosum","Oesophagostomum_venulosum"
"Ostertagia ostertagi","Ostertagia ostertagi","Ostertagia_ostertagi"
"Oxyuris equi","Oxyuris equi","Oxyuris_equi"
"Parascaris equorum","Parascaris equorum","Parascaris_equorum"
"Parelaphostrongylus andersoni","Parelaphostrongylus andersoni","Parelaphostrongylus_andersoni"
"Parelaphostrongylus odocoilei","Parelaphostrongylus odocoilei","Parelaphostrongylus_odocoilei"
"Parelaphostrongylus tenuis","Parelaphostrongylus tenuis","Parelaphostrongylus_tenuis"
"Physocephalus dromedarii",NA,"Physocephalus_dromedarii"
"Physocephalus sexalatus","Physocephalus sexalatus","Physocephalus_sexalatus"
"Pneumostrongylus calcaratus","Pneumostrongylus calcaratus","Pneumostrongylus_calcaratus"
"Protostrongylus davtiani",NA,"Protostrongylus_davtiani"
"Protostrongylus hobmaieri","Protostrongylus hobmaieri","Protostrongylus_hobmaieri"
"Protostrongylus rufescens","Protostrongylus rufescens","Protostrongylus_rufescens"
"Protostrongylus skrjabini","Trichostrongylus skrjabini","Protostrongylus_skrjabini"
"Protostrongylus stilesi/rushi",NA,"Protostrongylus_stilesi"
"Simondsia paradoxa","Simondsia paradoxa","Simondsia_paradoxa"
"Skrjabinema ovis","Skrjabinema ovis","Skrjabinema_ovis"
"Spirocerca lupi","Spirocerca lupi","Spirocerca_lupi"
"Stephanurus dentatus","Stephanurus dentatus","Stephanurus_dentatus"
"Strongylus edentatus","Strongylus edentatus","Strongylus_edentatus"
"Strongylus equinus","Strongylus equinus","Strongylus_equinus"
"Strongylus vulgaris","Strongylus vulgaris","Strongylus_vulgaris"
"Teladorsagia circumcincta","Teladorsagia circumcincta","Teladorsagia_circumcincta"
"Toxocara vitulorum","Toxocara vitulorum","Toxocara_vitulorum"
"Trichostrongylus axei","Trichostrongylus axei","Trichostrongylus_axei"
"Trichostrongylus colubriformis","Trichostrongylus colubriformis","Trichostrongylus_colubriformis"
"Trichostrongylus rugatus","Trichostrongylus rugatus","Trichostrongylus_rugatus"
"Trichostrongylus skrjabini","Trichostrongylus skrjabini","Trichostrongylus_skrjabini"
"Trichostrongylus vitrinus","Trichostrongylus vitrinus","Trichostrongylus_vitrinus"
"Trichuris discolor","Trichuris discolor","Trichuris_discolor"
"Trichuris ovis","Trichuris ovis","Trichuris_ovis"
"Trichuris skrjabini","Trichuris skrjabini","Trichuris_skrjabini"
"Trichuris suis","Trichuris suis","Trichuris_suis"
"Triodontophorus tenuicollis","Triodontophorus tenuicollis","Triodontophorus_tenuicollis"
"Umingmakstrongylus pallikuukensis","Umingmakstrongylus pallikuukensis","Umingmakstrongylus_pallikuukensis"
"Varestrongylus alpenae","Varestrongylus alpenae","Varestrongylus_alpenae"
"Varestrongylus capreoli","Varestrongylus capreoli","Varestrongylus_capreoli"
"Varestrongylus eleguneniensis","Varestrongylus eleguneniensis","Varestrongylus_eleguneniensis"
"Varestrongylus pneumonicus","Varestrongylus pneumonicus","Varestrongylus_pneumonicus"
"Varestrongylus sagittatus","Varestrongylus sagittatus","Varestrongylus_sagittatus"
